symbol,observation_count,stock_count,average_position_increment,average_asset_return,incremental_gross_return_sum,incremental_transaction_cost_sum,incremental_net_return_sum,incremental_log_return_sum,positive_incremental_day_rate
600036,1699,1,0.05932901706886404,0.0005060944175010619,0.07447122556511661,0.019499999999999997,0.054971225565116605,0.05024797761803849,0.1088875809299588
600519,1699,1,0.05438493231312536,0.0007254645471776627,0.06932684718872083,0.0186,0.05072684718872083,0.045148328974667806,0.09299587992937022
000001,1699,1,0.05208946439081813,0.0002348036235283499,0.035077786839649586,0.0186,0.016477786839649573,0.010879573529843225,0.09123013537374926
000002,1699,1,0.0605650382577987,-0.00041948746435771565,0.028078561028982055,0.023549999999999998,0.004528561028982028,-0.003656754611328556,0.10123602118893467
300750,1554,1,0.04826254826254826,0.0016893306614297068,-0.03454642385078679,0.013499999999999998,-0.048046423850786814,-0.05459878765391513,0.08622908622908623
